,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
543,1153,2016 - 22nd Annual,MALE LEAD,JOHNNY DEPP,BLACK MASS,FALSE,TRUE,White
544,3918,2005 - 11th Annual,MALE LEAD ROLE,JOHNNY DEPP,FINDING NEVERLAND,FALSE,TRUE,White
545,4090,2004 - 10th Annual,MALE LEAD ROLE,JOHNNY DEPP,PIRATES OF THE CARIBBEAN: THE CURSE OF THE BLACK PEARL,TRUE,TRUE,White
546,1154,2016 - 22nd Annual,MALE LEAD,MICHAEL FASSBENDER,STEVE JOBS,FALSE,TRUE,White
547,1725,2014 - 20th Annual,MALE SUPPORTING ROLE,MICHAEL FASSBENDER,12 YEARS A SLAVE,FALSE,TRUE,White
548,1155,2016 - 22nd Annual,MALE LEAD,EDDIE REDMAYNE,THE DANISH GIRL,FALSE,TRUE,White
549,1437,2015 - 21st Annual,MALE ACTOR IN A LEADING ROLE,EDDIE REDMAYNE,THE THEORY OF EVERYTHING,TRUE,TRUE,White
550,1156,2016 - 22nd Annual,MALE LEAD,LEONARDO DiCAPRIO,THE REVENANT,TRUE,TRUE,White
551,1158,2016 - 22nd Annual,MALE SUPPORT,MICHAEL SHANNON,99 HOMES,FALSE,TRUE,White
552,1159,2016 - 22nd Annual,MALE SUPPORT,MICHAEL SHANNON,99 HOMES,FALSE,TRUE,White
553,1160,2016 - 22nd Annual,MALE SUPPORT,IDRIS ELBA,BEASTS OF NO NATION,TRUE,TRUE,Black
554,1161,2016 - 22nd Annual,MALE SUPPORT,IDRIS ELBA,BEASTS OF NO NATION,TRUE,TRUE,Black
555,1169,2016 - 22nd Annual,MALE TV MOVIE OR MINISERIES,IDRIS ELBA,Luther,TRUE,TRUE,Black
556,1162,2016 - 22nd Annual,MALE SUPPORT,MARK RYLANCE,BRIDGE OF SPIES,FALSE,TRUE,White
557,1163,2016 - 22nd Annual,MALE SUPPORT,MARK RYLANCE,BRIDGE OF SPIES,FALSE,TRUE,White
558,1172,2016 - 22nd Annual,MALE TV MOVIE OR MINISERIES,MARK RYLANCE,Wolf Hall,FALSE,TRUE,White
559,1164,2016 - 22nd Annual,MALE SUPPORT,JACOB TREMBLAY,ROOM,FALSE,TRUE,White
560,1165,2016 - 22nd Annual,MALE SUPPORT,JACOB TREMBLAY,ROOM,FALSE,TRUE,White
561,1168,2016 - 22nd Annual,MALE TV MOVIE OR MINISERIES,BILL MURRAY,A Very Murray Christmas,FALSE,TRUE,White
562,4088,2004 - 10th Annual,MALE LEAD ROLE,BILL MURRAY,LOST IN TRANSLATION,FALSE,TRUE,White
563,1170,2016 - 22nd Annual,MALE TV MOVIE OR MINISERIES,RAY LIOTTA,Texas Rising,FALSE,TRUE,White
564,5054,1999 - 5th Annual,MALE TV MOVIE OR MINISERIES,RAY LIOTTA,THE RAT PACK,FALSE,TRUE,White
565,1171,2016 - 22nd Annual,MALE TV MOVIE OR MINISERIES,BEN KINGSLEY,Tut,FALSE,TRUE,Multiracial
566,4087,2004 - 10th Annual,MALE LEAD ROLE,BEN KINGSLEY,HOUSE OF SAND AND FOG,FALSE,TRUE,Multiracial
567,4486,2002 - 8th Annual,MALE SUPPORTING ROLE,BEN KINGSLEY,SEXY BEAST,FALSE,TRUE,Multiracial
568,4488,2002 - 8th Annual,MALE TV MOVIE OR MINISERIES,BEN KINGSLEY,ANNE FRANK,TRUE,TRUE,Multiracial
569,5055,1999 - 5th Annual,MALE TV MOVIE OR MINISERIES,BEN KINGSLEY,THE TALE OF SWEENEY TODD,FALSE,TRUE,Multiracial
570,1396,2015 - 21st Annual,FEMALE ACTOR IN A COMEDY SERIES,JULIE BOWEN,MODERN FAMILY,FALSE,TRUE,White
571,1685,2014 - 20th Annual,FEMALE COMEDY SERIES,JULIE BOWEN,MODERN FAMILY,FALSE,TRUE,White
572,2225,2012 - 18th Annual,FEMALE COMEDY SERIES,JULIE BOWEN,MODERN FAMILY,FALSE,TRUE,White
573,1405,2015 - 21st Annual,FEMALE ACTOR IN A DRAMA SERIES,TATIANA MASLANY,ORPHAN BLACK,FALSE,TRUE,White
574,1408,2015 - 21st Annual,FEMALE ACTOR IN A LEADING ROLE,ROSAMUND PIKE,GONE GIRL,FALSE,TRUE,White
575,1409,2015 - 21st Annual,FEMALE ACTOR IN A LEADING ROLE,JULIANNE MOORE,STILL ALICE,TRUE,TRUE,White
576,1973,2013 - 19th Annual,FEMALE TV MOVIE OR MINISERIES,JULIANNE MOORE,GAME CHANGE,TRUE,TRUE,White
577,4259,2003 - 9th Annual,FEMALE LEAD ROLE,JULIANNE MOORE,FAR FROM HEAVEN,FALSE,TRUE,White
578,4266,2003 - 9th Annual,FEMALE SUPPORTING ROLE,JULIANNE MOORE,THE HOURS,FALSE,TRUE,White
579,4840,2000 - 6th Annual,FEMALE LEAD ROLE,JULIANNE MOORE,THE END OF THE AFFAIR,FALSE,TRUE,White
580,4846,2000 - 6th Annual,FEMALE SUPPORTING ROLE,JULIANNE MOORE,MAGNOLIA,FALSE,TRUE,White
581,5203,1998 - 4th Annual,FEMALE SUPPORTING ROLE,JULIANNE MOORE,BOOGIE NIGHTS,FALSE,TRUE,White
582,1410,2015 - 21st Annual,FEMALE ACTOR IN A LEADING ROLE,FELICITY JONES,THE THEORY OF EVERYTHING,FALSE,TRUE,White
583,1415,2015 - 21st Annual,FEMALE ACTOR IN A SUPPORTING ROLE,NAOMI WATTS,ST. VINCENT,FALSE,TRUE,White
584,1966,2013 - 19th Annual,FEMALE LEAD ROLE,NAOMI WATTS,THE IMPOSSIBLE,FALSE,TRUE,White
585,4061,2004 - 10th Annual,FEMALE LEAD ROLE,NAOMI WATTS,21 GRAMS,FALSE,TRUE,White
586,1416,2015 - 21st Annual,FEMALE ACTOR IN A SUPPORTING ROLE,KEIRA KNIGHTLEY,THE IMITATION GAME,FALSE,TRUE,White
587,1417,2015 - 21st Annual,FEMALE ACTOR IN A TELEVISION MOVIE OR MINISERIES,ELLEN BURSTYN,FLOWERS IN THE ATTIC,FALSE,TRUE,White
588,3221,2008 - 14th Annual,FEMALE TV MOVIE OR MINISERIES,ELLEN BURSTYN,THE COMPANY,FALSE,TRUE,White
589,4645,2001 - 7th Annual,FEMALE LEAD ROLE,ELLEN BURSTYN,REQUIEM FOR A DREAM,FALSE,TRUE,White
590,1419,2015 - 21st Annual,FEMALE ACTOR IN A TELEVISION MOVIE OR MINISERIES,MAGGIE GYLLENHAAL,THE HONORABLE WOMAN,FALSE,TRUE,White
591,1420,2015 - 21st Annual,FEMALE ACTOR IN A TELEVISION MOVIE OR MINISERIES,JULIA ROBERTS,THE NORMAL HEART,FALSE,TRUE,White
592,1701,2014 - 20th Annual,FEMALE SUPPORTING ROLE,JULIA ROBERTS,AUGUST  OSAGE COUNTY,FALSE,TRUE,White
593,4644,2001 - 7th Annual,FEMALE LEAD ROLE,JULIA ROBERTS,ERIN BROCKOVICH,TRUE,TRUE,White
594,1421,2015 - 21st Annual,FEMALE ACTOR IN A TELEVISION MOVIE OR MINISERIES,CICELY TYSON,THE TRIP TO BOUNTIFUL,FALSE,TRUE,Black
595,5382,1997 - 3rd Annual,FEMALE TV MOVIE OR MINISERIES,CICELY TYSON,THE ROAD TO GALVESTON,FALSE,TRUE,Black
596,5682,1995 - 1st Annual,FEMALE DRAMA SERIES,CICELY TYSON,SWEET JUSTICE,FALSE,TRUE,Black
