year_film,year_ceremony,ceremony,category,name,film,winner,race
1971,1972,44,ACTOR IN A LEADING ROLE,Peter Finch,Sunday Bloody Sunday,FALSE,white
1971,1972,44,ACTOR IN A LEADING ROLE,Gene Hackman,The French Connection,TRUE,white
1971,1972,44,ACTOR IN A LEADING ROLE,Walter Matthau,Kotch,FALSE,white
1971,1972,44,ACTOR IN A LEADING ROLE,George C. Scott,The Hospital,FALSE,white
1971,1972,44,ACTOR IN A LEADING ROLE,Topol,Fiddler on the Roof,FALSE,white
1972,1973,45,ACTOR IN A LEADING ROLE,Marlon Brando,The Godfather,TRUE,white
1972,1973,45,ACTOR IN A LEADING ROLE,Michael Caine,Sleuth,FALSE,white
1972,1973,45,ACTOR IN A LEADING ROLE,Laurence Olivier,Sleuth,FALSE,white
1972,1973,45,ACTOR IN A LEADING ROLE,Peter O'Toole,The Ruling Class,FALSE,white
1972,1973,45,ACTOR IN A LEADING ROLE,Paul Winfield,Sounder,FALSE,black
1973,1974,46,ACTOR IN A LEADING ROLE,Marlon Brando,Last Tango in Paris,FALSE,white
1973,1974,46,ACTOR IN A LEADING ROLE,Jack Lemmon,Save the Tiger,TRUE,white
1973,1974,46,ACTOR IN A LEADING ROLE,Jack Nicholson,The Last Detail,FALSE,white
1973,1974,46,ACTOR IN A LEADING ROLE,Al Pacino,Serpico,FALSE,white
1973,1974,46,ACTOR IN A LEADING ROLE,Robert Redford,The Sting,FALSE,white
1974,1975,47,ACTOR IN A LEADING ROLE,Art Carney,Harry and Tonto,TRUE,white
1974,1975,47,ACTOR IN A LEADING ROLE,Albert Finney,Murder on the Orient Express,FALSE,white
1974,1975,47,ACTOR IN A LEADING ROLE,Dustin Hoffman,Lenny,FALSE,white
1974,1975,47,ACTOR IN A LEADING ROLE,Jack Nicholson,Chinatown,FALSE,white
1974,1975,47,ACTOR IN A LEADING ROLE,Al Pacino,The Godfather Part II,FALSE,white
1975,1976,48,ACTOR IN A LEADING ROLE,Walter Matthau,The Sunshine Boys,FALSE,white
1975,1976,48,ACTOR IN A LEADING ROLE,Jack Nicholson,One Flew over the Cuckoo's Nest,TRUE,white
1975,1976,48,ACTOR IN A LEADING ROLE,Al Pacino,Dog Day Afternoon,FALSE,white
1975,1976,48,ACTOR IN A LEADING ROLE,Maximilian Schell,The Man in the Glass Booth,FALSE,white
1975,1976,48,ACTOR IN A LEADING ROLE,James Whitmore,"Give 'em Hell, Harry!",FALSE,white
1976,1977,49,ACTOR IN A LEADING ROLE,Robert De Niro,Taxi Driver,FALSE,white
1976,1977,49,ACTOR IN A LEADING ROLE,Peter Finch,Network,TRUE,white
1976,1977,49,ACTOR IN A LEADING ROLE,Giancarlo Giannini,Seven Beauties,FALSE,white
1976,1977,49,ACTOR IN A LEADING ROLE,William Holden,Network,FALSE,white
1976,1977,49,ACTOR IN A LEADING ROLE,Sylvester Stallone,Rocky,FALSE,white
1977,1978,50,ACTOR IN A LEADING ROLE,Woody Allen,Annie Hall,FALSE,white
1977,1978,50,ACTOR IN A LEADING ROLE,Richard Burton,Equus,FALSE,white
1977,1978,50,ACTOR IN A LEADING ROLE,Richard Dreyfuss,The Goodbye Girl,TRUE,white
1977,1978,50,ACTOR IN A LEADING ROLE,Marcello Mastroianni,A Special Day,FALSE,white
1977,1978,50,ACTOR IN A LEADING ROLE,John Travolta,Saturday Night Fever,FALSE,white
1978,1979,51,ACTOR IN A LEADING ROLE,Warren Beatty,Heaven Can Wait,FALSE,white
1978,1979,51,ACTOR IN A LEADING ROLE,Gary Busey,The Buddy Holly Story,FALSE,white
1978,1979,51,ACTOR IN A LEADING ROLE,Robert De Niro,The Deer Hunter,FALSE,white
1978,1979,51,ACTOR IN A LEADING ROLE,Laurence Olivier,The Boys from Brazil,FALSE,white
1978,1979,51,ACTOR IN A LEADING ROLE,Jon Voight,Coming Home,TRUE,white
1979,1980,52,ACTOR IN A LEADING ROLE,Dustin Hoffman,Kramer vs. Kramer,TRUE,white
1979,1980,52,ACTOR IN A LEADING ROLE,Jack Lemmon,The China Syndrome,FALSE,white
1979,1980,52,ACTOR IN A LEADING ROLE,Al Pacino,...And Justice for All,FALSE,white
1979,1980,52,ACTOR IN A LEADING ROLE,Roy Scheider,All That Jazz,FALSE,white
1979,1980,52,ACTOR IN A LEADING ROLE,Peter Sellers,Being There,FALSE,white
1980,1981,53,ACTOR IN A LEADING ROLE,Robert De Niro,Raging Bull,TRUE,white
1980,1981,53,ACTOR IN A LEADING ROLE,Robert Duvall,The Great Santini,FALSE,white
1980,1981,53,ACTOR IN A LEADING ROLE,John Hurt,The Elephant Man,FALSE,white
1980,1981,53,ACTOR IN A LEADING ROLE,Jack Lemmon,Tribute,FALSE,white
1980,1981,53,ACTOR IN A LEADING ROLE,Peter O'Toole,The Stunt Man,FALSE,white
1981,1982,54,ACTOR IN A LEADING ROLE,Warren Beatty,Reds,FALSE,white
1981,1982,54,ACTOR IN A LEADING ROLE,Henry Fonda,On Golden Pond,TRUE,white
1981,1982,54,ACTOR IN A LEADING ROLE,Burt Lancaster,Atlantic City,FALSE,white
1981,1982,54,ACTOR IN A LEADING ROLE,Dudley Moore,Arthur,FALSE,white
1981,1982,54,ACTOR IN A LEADING ROLE,Paul Newman,Absence of Malice,FALSE,white
1982,1983,55,ACTOR IN A LEADING ROLE,Dustin Hoffman,Tootsie,FALSE,white
1982,1983,55,ACTOR IN A LEADING ROLE,Ben Kingsley,Gandhi,TRUE,asian
1982,1983,55,ACTOR IN A LEADING ROLE,Jack Lemmon,Missing,FALSE,white
1982,1983,55,ACTOR IN A LEADING ROLE,Paul Newman,The Verdict,FALSE,white
1982,1983,55,ACTOR IN A LEADING ROLE,Peter O'Toole,My Favorite Year,FALSE,white
1983,1984,56,ACTOR IN A LEADING ROLE,Michael Caine,Educating Rita,FALSE,white
1983,1984,56,ACTOR IN A LEADING ROLE,Tom Conti,"Reuben, Reuben",FALSE,white
1983,1984,56,ACTOR IN A LEADING ROLE,Tom Courtenay,The Dresser,FALSE,white
1983,1984,56,ACTOR IN A LEADING ROLE,Robert Duvall,Tender Mercies,TRUE,white
1983,1984,56,ACTOR IN A LEADING ROLE,Albert Finney,The Dresser,FALSE,white
1984,1985,57,ACTOR IN A LEADING ROLE,F. Murray Abraham,Amadeus,TRUE,Assyrian
1984,1985,57,ACTOR IN A LEADING ROLE,Jeff Bridges,Starman,FALSE,white
1984,1985,57,ACTOR IN A LEADING ROLE,Albert Finney,Under the Volcano,FALSE,white
1984,1985,57,ACTOR IN A LEADING ROLE,Tom Hulce,Amadeus,FALSE,white
1984,1985,57,ACTOR IN A LEADING ROLE,Sam Waterston,The Killing Fields,FALSE,white
1985,1986,58,ACTOR IN A LEADING ROLE,Harrison Ford,Witness,FALSE,white
1985,1986,58,ACTOR IN A LEADING ROLE,James Garner,Murphy's Romance,FALSE,white
1985,1986,58,ACTOR IN A LEADING ROLE,William Hurt,Kiss of the Spider Woman,TRUE,white
1985,1986,58,ACTOR IN A LEADING ROLE,Jack Nicholson,Prizzi's Honor,FALSE,white
1985,1986,58,ACTOR IN A LEADING ROLE,Jon Voight,Runaway Train,FALSE,white
1986,1987,59,ACTOR IN A LEADING ROLE,Dexter Gordon,'Round Midnight,FALSE,black
1986,1987,59,ACTOR IN A LEADING ROLE,Bob Hoskins,Mona Lisa,FALSE,white
1986,1987,59,ACTOR IN A LEADING ROLE,William Hurt,Children of a Lesser God,FALSE,white
