id,year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
150,1959,1960,32,ACTOR IN A LEADING ROLE,Paul Muni,The Last Angry Man,FALSE,white,white
151,1959,1960,32,ACTOR IN A LEADING ROLE,James Stewart,Anatomy of a Murder,FALSE,white,white
152,1960,1961,33,ACTOR IN A LEADING ROLE,Trevor Howard,Sons and Lovers,FALSE,white,white
153,1960,1961,33,ACTOR IN A LEADING ROLE,Burt Lancaster,Elmer Gantry,TRUE,white,white
154,1960,1961,33,ACTOR IN A LEADING ROLE,Jack Lemmon,The Apartment,FALSE,white,white
155,1960,1961,33,ACTOR IN A LEADING ROLE,Laurence Olivier,The Entertainer,FALSE,white,white
156,1960,1961,33,ACTOR IN A LEADING ROLE,Spencer Tracy,Inherit the Wind,FALSE,white,white
157,1961,1962,34,ACTOR IN A LEADING ROLE,Charles Boyer,Fanny,FALSE,white,white
158,1961,1962,34,ACTOR IN A LEADING ROLE,Paul Newman,The Hustler,FALSE,white,white
159,1961,1962,34,ACTOR IN A LEADING ROLE,Maximilian Schell,Judgment at Nuremberg,TRUE,white,white
160,1961,1962,34,ACTOR IN A LEADING ROLE,Spencer Tracy,Judgment at Nuremberg,FALSE,white,white
161,1961,1962,34,ACTOR IN A LEADING ROLE,Stuart Whitman,The Mark,FALSE,white,white
162,1962,1963,35,ACTOR IN A LEADING ROLE,Burt Lancaster,Birdman of Alcatraz,FALSE,white,white
163,1962,1963,35,ACTOR IN A LEADING ROLE,Jack Lemmon,Days of Wine and Roses,FALSE,white,white
164,1962,1963,35,ACTOR IN A LEADING ROLE,Marcello Mastroianni,Divorce--Italian Style,FALSE,white,white
165,1962,1963,35,ACTOR IN A LEADING ROLE,Peter O'Toole,Lawrence of Arabia,FALSE,white,white
166,1962,1963,35,ACTOR IN A LEADING ROLE,Gregory Peck,To Kill a Mockingbird,TRUE,white,white
167,1963,1964,36,ACTOR IN A LEADING ROLE,Albert Finney,Tom Jones,FALSE,white,white
168,1963,1964,36,ACTOR IN A LEADING ROLE,Richard Harris,This Sporting Life,FALSE,white,white
169,1963,1964,36,ACTOR IN A LEADING ROLE,Rex Harrison,Cleopatra,FALSE,white,white
170,1963,1964,36,ACTOR IN A LEADING ROLE,Paul Newman,Hud,FALSE,white,white
171,1963,1964,36,ACTOR IN A LEADING ROLE,Sidney Poitier,Lilies of the Field,TRUE,black,black
172,1964,1965,37,ACTOR IN A LEADING ROLE,Richard Burton,Becket,FALSE,white,white
173,1964,1965,37,ACTOR IN A LEADING ROLE,Rex Harrison,My Fair Lady,TRUE,white,white
174,1964,1965,37,ACTOR IN A LEADING ROLE,Peter O'Toole,Becket,FALSE,white,white
175,1964,1965,37,ACTOR IN A LEADING ROLE,Anthony Quinn,Zorba the Greek,FALSE,hispanic,hispanic
176,1964,1965,37,ACTOR IN A LEADING ROLE,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,FALSE,white,white
177,1965,1966,38,ACTOR IN A LEADING ROLE,Richard Burton,The Spy Who Came In from the Cold,FALSE,white,white
178,1965,1966,38,ACTOR IN A LEADING ROLE,Lee Marvin,Cat Ballou,TRUE,white,white
179,1965,1966,38,ACTOR IN A LEADING ROLE,Laurence Olivier,Othello,FALSE,white,white
180,1965,1966,38,ACTOR IN A LEADING ROLE,Rod Steiger,The Pawnbroker,FALSE,white,white
181,1965,1966,38,ACTOR IN A LEADING ROLE,Oskar Werner,Ship of Fools,FALSE,white,white
182,1966,1967,39,ACTOR IN A LEADING ROLE,Alan Arkin,The Russians Are Coming The Russians Are Coming,FALSE,white,white
183,1966,1967,39,ACTOR IN A LEADING ROLE,Richard Burton,Who's Afraid of Virginia Woolf?,FALSE,white,white
184,1966,1967,39,ACTOR IN A LEADING ROLE,Michael Caine,Alfie,FALSE,white,white
