,Unnamed: 0,year_film,year_award,ceremony,category,nominee,film,win,single_award,race
2394,6472,2007,2008,65,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Ted Danson,Damages,False,True,White
2395,3436,1983,1984,41,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Victoria Tennant,"Winds of War, The",False,True,White
2396,3437,1983,1984,41,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Richard Kiley,"Thorn Birds, The",True,True,White
2397,3924,1987,1988,45,Best Performance by an Actor In A Television Series - Drama,Richard Kiley,"Year in the Life, A",True,True,White
2398,4455,1991,1992,49,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Richard Kiley,Separate But Equal,False,True,White
2399,3439,1983,1984,41,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Bryan Brown,"Thorn Birds, The",False,True,White
2400,3441,1983,1984,41,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Perry King,The Hasty Heart (1983),False,True,White
2401,3442,1983,1984,41,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Rob Lowe,Thursday's Child,False,True,White
2402,3865,1987,1988,45,Best Performance by an Actor in a Supporting Role in any Motion Picture,Rob Lowe,Square Dance,False,True,White
2403,5435,1999,2000,57,Best Performance by an Actor In A Television Series - Drama,Rob Lowe,"West Wing, The",False,True,White
2404,5563,2000,2001,58,Best Performance by an Actor In A Television Series - Drama,Rob Lowe,"West Wing, The",True,True,White
2405,7226,2013,2014,71,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Rob Lowe,Behind the Candelabra,False,True,White
2406,7472,2015,2016,73,Best Performance by an Actor in a Television Series - Musical or Comedy,Rob Lowe,The Grinder,False,True,White
2407,3459,1984,1985,42,Best Performance by an Actor in a Motion Picture - Drama,F. Murray Abraham,Amadeus,True,True,Middle Eastern
2408,3460,1984,1985,42,Best Performance by an Actor in a Motion Picture - Drama,Jeff Bridges,John Carpenter's Starman,False,True,White
2409,4361,1991,1992,49,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jeff Bridges,"Fisher King, The",False,True,White
2410,5500,2000,2001,58,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jeff Bridges,"Contender, The",False,True,White
2411,6616,2009,2010,67,Best Performance by an Actor in a Motion Picture - Drama,Jeff Bridges,Crazy Heart,True,True,White
2412,7521,2016,2017,74,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jeff Bridges,Hell or High Water,False,True,White
2413,3462,1984,1985,42,Best Performance by an Actor in a Motion Picture - Drama,Tom Hulce,Amadeus,False,True,White
2414,3972,1988,1989,46,Best Performance by an Actor in a Motion Picture - Drama,Tom Hulce,Dominick & Eugene,False,True,White
2415,4299,1990,1991,48,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Tom Hulce,Murder In Mississippi,False,True,White
2416,4953,1995,1996,53,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Tom Hulce,The Heidi Chronicles,False,True,White
2417,3464,1984,1985,42,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathleen Turner,Romancing the Stone,True,True,White
2418,3591,1985,1986,43,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathleen Turner,Prizzi's Honor,True,True,White
2419,3720,1986,1987,44,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathleen Turner,Peggy Sue Got Married,False,True,White
2420,4106,1989,1990,47,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathleen Turner,"War of The Roses, The",False,True,White
2421,3472,1984,1985,42,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,Ghostbusters,False,True,White
2422,5245,1998,1999,56,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bill Murray,Rushmore,False,True,White
2423,5875,2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,Lost in Translation,True,True,White
2424,7007,2012,2013,70,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,Hyde Park on Hudson,False,True,White
2425,7259,2014,2015,72,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,St. Vincent,False,True,White
