year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Catch Me If You Can,False,unknown,unknown
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Adrien Brody,"Pianist, The",False,white,white
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Michael Caine,"Quiet American, The",False,white,white
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Gangs of New York,False,white,white
2002,2003,60,Best Director - Motion Picture,Martin Scorsese,Gangs of New York,True,white,white
2002,2003,60,Best Director - Motion Picture,Stephen Daldry,The Hours,False,white,white
2002,2003,60,Best Director - Motion Picture,Peter Jackson,"Lord of the Rings: The Two Towers, The",False,unknown,unknown
2002,2003,60,Best Director - Motion Picture,Spike Jonze,Adaptation,False,unknown,unknown
2002,2003,60,Best Director - Motion Picture,Rob Marshall,Chicago,False,white,white
2002,2003,60,Best Director - Motion Picture,Alexander Payne,About Schmidt,False,unknown,unknown
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kim Cattrall,Sex and The City,True,unknown,unknown
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gena Rowlands,Hysterical Blindness,False,unknown,unknown
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Megan Mullally,Will & Grace,False,unknown,unknown
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cynthia Nixon,Sex and The City,False,unknown,unknown
2002,2003,60,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Parker Posey,Hell on Heels: The Battle of Mary Kay,False,unknown,unknown
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Path to War,True,unknown,unknown
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jim Broadbent,The Gathering Storm,False,unknown,unknown
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Bryan Cranston,Malcolm In The Middle,False,unknown,unknown
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sean P. Hayes,Will & Grace,False,unknown,unknown
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dennis Haysbert,24,False,unknown,unknown
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michael Imperioli,"Sopranos, The",False,unknown,unknown
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Spencer,"West Wing, The",False,unknown,unknown
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Bradley Whitford,"West Wing, The",False,unknown,unknown
2002,2003,60,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alec Baldwin,Path to War,False,unknown,unknown
