,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
890,4481,2002 - 8th Annual,MALE LEAD ROLE,KEVIN KLINE,LIFE AS A HOUSE,False,True,White
891,2739,2010 - 16th Annual,MALE TV MOVIE OR MINISERIES,KEVIN BACON,TAKING CHANCE,True,True,White
892,5583,1996 - 2nd Annual,MALE SUPPORTING ROLE,KEVIN BACON,MURDER IN THE FIRST,False,True,White
893,2936,2009 - 15th Annual,FEMALE COMEDY SERIES,TRACEY ULLMAN,TRACEY ULLMAN'S STATE OF THE UNION,False,True,White
894,4831,2000 - 6th Annual,FEMALE COMEDY SERIES,TRACEY ULLMAN,TRACEY TAKES ON,False,True,White
895,5009,1999 - 5th Annual,FEMALE COMEDY SERIES,TRACEY ULLMAN,TRACEY TAKES ON,True,True,White
896,2937,2009 - 15th Annual,FEMALE COMEDY SERIES,AMERICA FERRERA,UGLY BETTY,False,True,Hispanic
897,3201,2008 - 14th Annual,FEMALE COMEDY SERIES,AMERICA FERRERA,UGLY BETTY,False,True,Hispanic
898,3463,2007 - 13th Annual,FEMALE COMEDY SERIES,AMERICA FERRERA,UGLY BETTY,True,True,Hispanic
899,2938,2009 - 15th Annual,FEMALE COMEDY SERIES,MARY-LOUISE PARKER,WEEDS,False,True,White
900,3203,2008 - 14th Annual,FEMALE COMEDY SERIES,MARY-LOUISE PARKER,WEEDS,False,True,White
901,3464,2007 - 13th Annual,FEMALE COMEDY SERIES,MARY-LOUISE PARKER,WEEDS,False,True,White
902,3694,2006 - 12th Annual,FEMALE COMEDY SERIES,MARY-LOUISE PARKER,WEEDS,False,True,White
903,4072,2004 - 10th Annual,FEMALE TV MOVIE OR MINISERIES,MARY-LOUISE PARKER,ANGELS IN AMERICA,False,True,White
904,2944,2009 - 15th Annual,FEMALE LEAD ROLE,ANGELINA JOLIE,CHANGELING,False,True,White
905,3209,2008 - 14th Annual,FEMALE LEAD ROLE,ANGELINA JOLIE,A MIGHTY HEART,False,True,White
906,4845,2000 - 6th Annual,FEMALE SUPPORTING ROLE,ANGELINA JOLIE,"GIRL, INTERRUPTED",True,True,White
907,5027,1999 - 5th Annual,FEMALE TV MOVIE OR MINISERIES,ANGELINA JOLIE,GIA,True,True,White
908,2951,2009 - 15th Annual,FEMALE SUPPORTING ROLE,TARAJI P. HENSON,THE CURIOUS CASE OF BENJAMIN BUTTON,False,True,Black
909,2954,2009 - 15th Annual,FEMALE TV MOVIE OR MINISERIES,PHYLICIA RASHAD,A RAISIN IN THE SUN,False,True,Black
910,2956,2009 - 15th Annual,FEMALE TV MOVIE OR MINISERIES,SHIRLEY MacLAINE,COCO CHANEL,False,True,White
911,2959,2009 - 15th Annual,LIFE ACHIEVEMENT,JAMES EARL JONES,,True,True,Black
912,5576,1996 - 2nd Annual,MALE LEAD ROLE,JAMES EARL JONES,CRY THE BELOVED COUNTRY,False,True,Black
913,2961,2009 - 15th Annual,MALE COMEDY SERIES,DAVID DUCHOVNY,CALIFORNICATION,False,True,White
914,4862,2000 - 6th Annual,MALE DRAMA SERIES,DAVID DUCHOVNY,THE X-FILES,False,True,White
915,5040,1999 - 5th Annual,MALE DRAMA SERIES,DAVID DUCHOVNY,THE X-FILES,False,True,White
916,5223,1998 - 4th Annual,MALE DRAMA SERIES,DAVID DUCHOVNY,THE X-FILES,False,True,White
917,5393,1997 - 3rd Annual,MALE DRAMA SERIES,DAVID DUCHOVNY,THE X-FILES,False,True,White
918,5575,1996 - 2nd Annual,MALE DRAMA SERIES,DAVID DUCHOVNY,THE X-FILES,False,True,White
919,2962,2009 - 15th Annual,MALE COMEDY SERIES,JEREMY PIVEN,ENTOURAGE,False,True,White
920,3227,2008 - 14th Annual,MALE COMEDY SERIES,JEREMY PIVEN,ENTOURAGE,False,True,White
921,3488,2007 - 13th Annual,MALE COMEDY SERIES,JEREMY PIVEN,ENTOURAGE,False,True,White
922,2965,2009 - 15th Annual,MALE DRAMA SERIES,JAMES SPADER,BOSTON LEGAL,False,True,White
923,3231,2008 - 14th Annual,MALE DRAMA SERIES,JAMES SPADER,BOSTON LEGAL,False,True,White
924,3493,2007 - 13th Annual,MALE DRAMA SERIES,JAMES SPADER,BOSTON LEGAL,False,True,White
925,3717,2006 - 12th Annual,MALE COMEDY SERIES,JAMES SPADER,BOSTON LEGAL,False,True,White
926,2966,2009 - 15th Annual,MALE DRAMA SERIES,WILLIAM SHATNER,BOSTON LEGAL,False,True,White
927,3718,2006 - 12th Annual,MALE COMEDY SERIES,WILLIAM SHATNER,BOSTON LEGAL,False,True,White
928,2970,2009 - 15th Annual,MALE LEAD ROLE,FRANK LANGELLA,FROST/NIXON,False,True,White
929,2971,2009 - 15th Annual,MALE LEAD ROLE,SEAN PENN,MILK,True,True,White
930,4089,2004 - 10th Annual,MALE LEAD ROLE,SEAN PENN,MYSTIC RIVER,False,True,White
931,4479,2002 - 8th Annual,MALE LEAD ROLE,SEAN PENN,I AM SAM,False,True,White
932,5577,1996 - 2nd Annual,MALE LEAD ROLE,SEAN PENN,DEAD MAN WALKING,False,True,White
933,2974,2009 - 15th Annual,MALE LEAD ROLE,MICKEY ROURKE,THE WRESTLER,False,True,White
934,2976,2009 - 15th Annual,MALE SUPPORTING ROLE,JOSH BROLIN,MILK,False,True,White
935,2978,2009 - 15th Annual,MALE SUPPORTING ROLE,HEATH LEDGER,THE DARK KNIGHT,True,True,White
936,3727,2006 - 12th Annual,MALE LEAD ROLE,HEATH LEDGER,BROKEBACK MOUNTAIN,False,True,White
937,2979,2009 - 15th Annual,MALE SUPPORTING ROLE,"ROBERT DOWNEY, JR.",TROPIC THUNDER,False,True,White
938,4660,2001 - 7th Annual,MALE COMEDY SERIES,"ROBERT DOWNEY, JR.",ALLY MCBEAL,True,True,White
939,2980,2009 - 15th Annual,MALE TV MOVIE OR MINISERIES,KIEFER SUTHERLAND,24: REDEMPTION,False,True,White
940,3492,2007 - 13th Annual,MALE DRAMA SERIES,KIEFER SUTHERLAND,24,False,True,White
941,3722,2006 - 12th Annual,MALE DRAMA SERIES,KIEFER SUTHERLAND,24,True,True,White
942,3913,2005 - 11th Annual,MALE DRAMA SERIES,KIEFER SUTHERLAND,24,False,True,White
943,4082,2004 - 10th Annual,MALE DRAMA SERIES,KIEFER SUTHERLAND,24,True,True,White
944,4279,2003 - 9th Annual,MALE DRAMA SERIES,KIEFER SUTHERLAND,24,False,True,White
945,2981,2009 - 15th Annual,MALE TV MOVIE OR MINISERIES,RALPH FIENNES,BERNARD AND DORIS,False,True,White
946,5397,1997 - 3rd Annual,MALE LEAD ROLE,RALPH FIENNES,THE ENGLISH PATIENT,False,True,White
947,3202,2008 - 14th Annual,FEMALE COMEDY SERIES,VANESSA WILLIAMS,UGLY BETTY,False,True,Black
948,3210,2008 - 14th Annual,FEMALE LEAD ROLE,JULIE CHRISTIE,AWAY FROM HER,True,True,White
949,3212,2008 - 14th Annual,FEMALE LEAD ROLE,ELLEN PAGE,JUNO,False,True,White
950,3215,2008 - 14th Annual,FEMALE SUPPORTING ROLE,AMY RYAN,GONE BABY GONE,False,True,White
951,3217,2008 - 14th Annual,FEMALE SUPPORTING ROLE,CATHERINE KEENER,INTO THE WILD,False,True,White
952,3707,2006 - 12th Annual,FEMALE SUPPORTING ROLE,CATHERINE KEENER,CAPOTE,False,True,White
953,4843,2000 - 6th Annual,FEMALE SUPPORTING ROLE,CATHERINE KEENER,BEING JOHN MALKOVICH,False,True,White
954,3219,2008 - 14th Annual,FEMALE TV MOVIE OR MINISERIES,ANNA PAQUIN,BURY MY HEART AT WOUNDED KNEE,False,True,White
955,3222,2008 - 14th Annual,FEMALE TV MOVIE OR MINISERIES,VANESSA REDGRAVE,THE FEVER,False,True,White
956,4271,2003 - 9th Annual,FEMALE TV MOVIE OR MINISERIES,VANESSA REDGRAVE,THE GATHERING STORM,False,True,White
